subject,n_epochs,csp_acc,csp_kappa,fbcsp_acc,fbcsp_kappa
1,41,0.7804878048780488,0.5612366230677764,0.5365853658536586,0.0715137067938022
2,45,0.8666666666666667,0.7326732673267327,0.8,0.600197433366239
3,44,0.7272727272727273,0.4511434511434511,0.6590909090909091,0.3153526970954357
4,45,0.5777777777777777,0.1543026706231453,0.5555555555555556,0.1089108910891089
5,45,0.4444444444444444,-0.12612612612612617,0.4,-0.22356495468277937
6,45,0.4666666666666667,-0.09756097560975618,0.4444444444444444,-0.13293051359516617
7,42,0.9761904761904762,0.9521640091116174,0.8809523809523809,0.7563805104408353
8,45,0.4444444444444444,-0.10619469026548667,0.5333333333333333,0.06896551724137934
10,28,0.6071428571428571,0.19791666666666674,0.7142857142857143,0.4042553191489362
11,44,0.6363636363636364,0.2727272727272727,0.5227272727272727,0.045454545454545414
12,44,0.5681818181818182,0.14344262295081978,0.6136363636363636,0.2272727272727273
14,45,0.4222222222222222,-0.15612648221343872,0.4,-0.19940769990128326
15,37,0.7297297297297297,0.4558823529411765,0.6486486486486487,0.28951255539143284
16,45,0.5777777777777777,0.1576354679802956,0.6444444444444445,0.2885375494071146
18,45,0.4888888888888889,-0.025768087215064517,0.6,0.1996047430830039
19,22,0.6818181818181818,0.36363636363636365,0.5909090909090909,0.13913043478260878
20,45,0.5111111111111111,0.015904572564612307,0.5111111111111111,0.01980198019801971
21,44,0.4772727272727273,-0.049792531120331995,0.6136363636363636,0.19742489270386276
22,25,0.56,0.11003236245954684,0.56,0.11575562700964626
23,22,0.5,-0.05217391304347818,0.45454545454545453,-0.21100917431192667
25,45,0.4,-0.19704433497536944,0.5333333333333333,0.06528189910979221
26,45,0.7333333333333333,0.4610778443113772,0.5333333333333333,0.07624633431085048
27,40,0.35,-0.31645569620253156,0.5,-0.007556675062972307
28,34,0.35294117647058826,-0.2941176470588236,0.5882352941176471,0.17647058823529416
29,45,1.0,1.0,1.0,1.0
30,45,0.4888888888888889,-0.029850746268656803,0.4666666666666667,-0.05882352941176472
31,45,0.8444444444444444,0.6878097125867195,0.7777777777777778,0.5544554455445545
32,28,0.8214285714285714,0.6391752577319587,0.6071428571428571,0.20618556701030932
33,45,0.7111111111111111,0.4190665342601787,0.6444444444444445,0.2913385826771654
34,43,0.9302325581395349,0.8602383531960996,0.8372093023255814,0.6738894907908992
35,45,0.7555555555555555,0.5103857566765578,0.6444444444444445,0.2842942345924453
36,36,0.4444444444444444,-0.11111111111111116,0.5,0.0
37,43,0.4418604651162791,-0.11447084233261351,0.4186046511627907,-0.1571582346609257
38,44,0.75,0.4979253112033195,0.4772727272727273,-0.054166666666666696
40,43,0.6046511627906976,0.1664766248574686,0.5116279069767442,-0.029646522234891837
41,44,0.4318181818181818,-0.14583333333333348,0.5909090909090909,0.1663157894736842
42,45,0.9555555555555556,0.9110671936758893,0.8666666666666667,0.7326732673267327
43,22,0.6818181818181818,0.3063063063063064,0.6363636363636364,0.19266055045871555
45,39,0.46153846153846156,-0.07058823529411762,0.5641025641025641,0.1264822134387351
46,40,0.4,-0.22137404580152675,0.65,0.2911392405063291
47,45,0.5333333333333333,0.042553191489361764,0.5777777777777777,0.13373860182370823
49,26,0.5384615384615384,0.025000000000000022,0.5,-0.16551724137931045
50,45,0.3333333333333333,-0.3392857142857144,0.6888888888888889,0.3774703557312252
51,45,0.4222222222222222,-0.16766467065868262,0.4444444444444444,-0.10619469026548667
54,34,0.6176470588235294,0.22456140350877196,0.9117647058823529,0.8222996515679443
55,45,0.8666666666666667,0.733201581027668,0.6888888888888889,0.37623762376237624
57,21,0.7142857142857143,0.41666666666666674,0.47619047619047616,-0.07441860465116279
58,44,0.5227272727272727,0.017021276595744705,0.5227272727272727,0.05714285714285716
59,35,0.4857142857142857,-0.04651162790697683,0.4857142857142857,-0.022727272727272707
60,39,0.8461538461538461,0.6921052631578948,0.46153846153846156,-0.0819022457067371
62,45,0.9111111111111111,0.8224852071005917,0.8222222222222222,0.6449704142011834
63,43,0.5581395348837209,0.11675675675675679,0.4418604651162791,-0.11688311688311703
64,44,0.4318181818181818,-0.13168724279835398,0.5909090909090909,0.17327766179540716
65,44,0.5227272727272727,0.03749999999999998,0.5454545454545454,0.08523908523908519
66,44,0.4772727272727273,-0.045454545454545414,0.6818181818181818,0.36363636363636365
67,45,0.4222222222222222,-0.15612648221343872,0.5111111111111111,0.01980198019801971
68,35,0.5142857142857142,0.006677796327211993,0.6285714285714286,0.2625607779578607
69,45,0.6,0.1964285714285714,0.5333333333333333,0.05970149253731338
70,44,0.6590909090909091,0.31818181818181823,0.38636363636363635,-0.2272727272727273
71,39,0.6410256410256411,0.2853403141361257,0.6666666666666666,0.33025099075297226
72,43,0.8372093023255814,0.6731813246471228,0.7441860465116279,0.48975188781014023
73,42,0.47619047619047616,-0.04761904761904767,0.5238095238095238,0.04761904761904767
74,43,0.6744186046511628,0.34422657952069713,0.3953488372093023,-0.2021505376344086
76,42,0.6666666666666666,0.33333333333333337,0.5714285714285714,0.1428571428571429
77,33,0.36363636363636365,-0.2622950819672132,0.42424242424242425,-0.15045871559633017
78,43,0.46511627906976744,-0.08324205914567373,0.27906976744186046,-0.43797195253505916
79,28,0.4642857142857143,-0.1170212765957448,0.4642857142857143,-0.09375
80,44,0.5,-0.0020703933747412417,0.5681818181818182,0.13636363636363635
81,45,0.6,0.2027559055118111,0.6,0.2027559055118111
82,44,0.4090909090909091,-0.1941544885177453,0.6590909090909091,0.31818181818181823
83,31,0.5806451612903226,0.1370449678800858,0.7419354838709677,0.48547717842323646
84,33,0.5454545454545454,0.08502772643253242,0.6363636363636364,0.27472527472527475
85,38,0.6842105263157895,0.368421052631579,0.5,0.0
87,38,0.42105263157894735,-0.1741573033707866,0.631578947368421,0.2692307692307693
89,45,0.6222222222222222,0.23880597014925364,0.5555555555555556,0.1124260355029586
93,45,0.7555555555555555,0.5113524185587365,0.5555555555555556,0.1124260355029586
94,37,0.9459459459459459,0.8882175226586103,0.8378378378378378,0.6595092024539877
96,33,0.42424242424242425,-0.14207650273224037,0.6666666666666666,0.3240223463687151
97,40,0.525,0.045226130653266305,0.65,0.29824561403508765
98,45,0.7111111111111111,0.42136498516320475,0.6666666666666666,0.33234421364985156
101,45,0.35555555555555557,-0.29335976214073356,0.5333333333333333,0.07079646017699126
102,42,0.8809523809523809,0.7619047619047619,0.5476190476190477,0.09523809523809523
103,35,0.42857142857142855,-0.1400651465798044,0.4,-0.2029459901800328
104,42,0.7857142857142857,0.5714285714285714,0.5238095238095238,0.04761904761904767
105,44,0.4772727272727273,-0.045454545454545414,0.5227272727272727,0.045454545454545414
106,44,0.6363636363636364,0.27422680412371137,0.45454545454545453,-0.0841889117043122
