22:15:06 | decode_cross_subject | INFO | [E8] S065 | acc_at_end=0.689 | best=0.733 @2.50s | rest FPR=0.38
22:15:07 | decode_cross_subject | INFO | [E8] S077 | acc_at_end=0.444 | best=0.578 @2.00s | rest FPR=0.66
22:15:07 | decode_cross_subject | INFO | [E8] S078 | acc_at_end=0.511 | best=0.556 @2.75s | rest FPR=0.48
22:15:07 | decode_cross_subject | INFO | [E8] S080 | acc_at_end=0.622 | best=0.689 @0.50s | rest FPR=0.72
22:15:07 | decode_cross_subject | INFO | [E8] S081 | acc_at_end=0.533 | best=0.578 @1.00s | rest FPR=0.82
22:15:07 | decode_cross_subject | INFO | [E8] S094 | acc_at_end=0.822 | best=0.978 @2.75s | rest FPR=0.59
22:15:08 | decode_cross_subject | INFO | [E8] S098 | acc_at_end=0.600 | best=0.667 @2.50s | rest FPR=0.76
22:15:08 | decode_cross_subject | INFO | [E8] S101 | acc_at_end=0.444 | best=0.600 @1.75s | rest FPR=0.57
22:15:08 | decode_cross_subject | INFO | [E8] S105 | acc_at_end=0.511 | best=0.711 @1.50s | rest FPR=0.57
22:15:08 | decode_cross_subject | INFO | [E8] S106 | acc_at_end=0.556 | best=0.644 @3.50s | rest FPR=0.60
22:15:08 | decode_cross_subject | INFO | == 模型族 riemann: ['E3', 'E6'] | 频带 [[8, 30]] | 对齐 ['riemann']
22:15:29 | decode_cross_subject | INFO | 训练被试 70 人, 共 3148 个训练窗
22:15:35 | decode_cross_subject | INFO | 测试被试 18 人
22:15:47 | decode_cross_subject | INFO | [E3] 训练完成: riemann | 70 人 / 3148 窗 | align=None adaptive=False
22:15:48 | decode_cross_subject | INFO | [E3] S001 | acc_at_end=0.622 | best=0.800 @2.00s | rest FPR=0.77
22:15:49 | decode_cross_subject | INFO | [E3] S005 | acc_at_end=0.489 | best=0.533 @2.50s | rest FPR=0.79
22:15:50 | decode_cross_subject | INFO | [E3] S012 | acc_at_end=0.578 | best=0.667 @2.00s | rest FPR=0.82
22:15:51 | decode_cross_subject | INFO | [E3] S015 | acc_at_end=0.622 | best=0.711 @2.50s | rest FPR=0.86
22:15:52 | decode_cross_subject | INFO | [E3] S022 | acc_at_end=0.489 | best=0.644 @2.50s | rest FPR=0.77
22:15:53 | decode_cross_subject | INFO | [E3] S027 | acc_at_end=0.578 | best=0.667 @2.75s | rest FPR=0.75
22:15:54 | decode_cross_subject | INFO | [E3] S031 | acc_at_end=0.778 | best=0.867 @2.25s | rest FPR=0.80
22:15:55 | decode_cross_subject | INFO | [E3] S038 | acc_at_end=0.511 | best=0.578 @1.00s | rest FPR=0.86
22:15:56 | decode_cross_subject | INFO | [E3] S065 | acc_at_end=0.533 | best=0.644 @1.75s | rest FPR=0.80
22:15:56 | decode_cross_subject | INFO | [E3] S077 | acc_at_end=0.467 | best=0.622 @2.00s | rest FPR=0.84
