22:06:07 | pseudo_online | INFO | device = mps
/Users/erqian/Desktop/util_udf/mi_decoder/.venv/lib/python3.12/site-packages/braindecode/models/eegpt.py:497: FutureWarning: Montage name 'standard_1020' is deprecated and will be removed in MNE 1.14. Use 'colin27_1020' instead.
  montage = mne.channels.make_standard_montage("standard_1020")
/Users/erqian/Desktop/util_udf/mi_decoder/.venv/lib/python3.12/site-packages/braindecode/models/eegpt.py:1452: FutureWarning: Montage name 'standard_1020' is deprecated and will be removed in MNE 1.14. Use 'colin27_1020' instead.
  montage = make_standard_montage("standard_1020")
22:08:58 | pseudo_online | INFO | S041 | eegnet | acc_at_end=0.429 | best acc=0.643 @3.00s | ITR=1.2 | rest FPR=0.00
22:09:02 | pseudo_online | INFO | S042 | eegnet | acc_at_end=0.500 | best acc=0.500 @0.50s | ITR=0.0 | rest FPR=0.09
22:09:11 | pseudo_online | INFO | S043 | eegnet | acc_at_end=0.429 | best acc=0.643 @2.50s | ITR=1.4 | rest FPR=0.82
22:09:15 | pseudo_online | INFO | S044 | eegnet | acc_at_end=0.571 | best acc=0.857 @3.25s | ITR=7.5 | rest FPR=0.02
22:09:18 | pseudo_online | INFO | S045 | eegnet | acc_at_end=0.500 | best acc=0.714 @0.50s | ITR=16.4 | rest FPR=0.00
22:09:25 | pseudo_online | INFO | S046 | eegnet | acc_at_end=0.571 | best acc=0.714 @0.50s | ITR=16.4 | rest FPR=0.53
22:09:27 | pseudo_online | INFO | S047 | eegnet | acc_at_end=0.714 | best acc=0.714 @1.00s | ITR=8.2 | rest FPR=0.00
22:09:29 | pseudo_online | INFO | S048 | eegnet | acc_at_end=0.643 | best acc=0.714 @0.75s | ITR=11.0 | rest FPR=0.00
22:09:39 | pseudo_online | INFO | S049 | eegnet | acc_at_end=0.786 | best acc=0.929 @2.50s | ITR=15.1 | rest FPR=0.94
22:09:45 | pseudo_online | INFO | S050 | eegnet | acc_at_end=0.500 | best acc=0.714 @3.75s | ITR=2.2 | rest FPR=0.60
22:09:48 | pseudo_online | INFO | S051 | eegnet | acc_at_end=0.643 | best acc=0.714 @0.50s | ITR=16.4 | rest FPR=0.00
22:09:51 | pseudo_online | INFO | S052 | eegnet | acc_at_end=0.500 | best acc=0.571 @0.50s | ITR=1.8 | rest FPR=0.00
22:09:55 | pseudo_online | INFO | S053 | eegnet | acc_at_end=0.571 | best acc=0.571 @4.00s | ITR=0.2 | rest FPR=0.03
22:10:08 | pseudo_online | INFO | S054 | eegnet | acc_at_end=0.714 | best acc=0.929 @2.00s | ITR=18.9 | rest FPR=0.84
22:10:10 | pseudo_online | INFO | S055 | eegnet | acc_at_end=0.500 | best acc=0.714 @1.75s | ITR=4.7 | rest FPR=0.00
22:10:18 | pseudo_online | INFO | S056 | eegnet | acc_at_end=0.714 | best acc=0.857 @3.75s | ITR=6.5 | rest FPR=0.92
22:10:21 | pseudo_online | INFO | S057 | eegnet | acc_at_end=0.429 | best acc=0.714 @2.50s | ITR=3.3 | rest FPR=0.00
22:10:24 | pseudo_online | INFO | S058 | eegnet | acc_at_end=0.357 | best acc=0.786 @1.00s | ITR=15.0 | rest FPR=0.00
22:10:26 | pseudo_online | INFO | S059 | eegnet | acc_at_end=0.643 | best acc=0.714 @1.50s | ITR=5.5 | rest FPR=0.00
22:10:29 | pseudo_online | INFO | S060 | eegnet | acc_at_end=0.786 | best acc=0.786 @4.00s | ITR=3.8 | rest FPR=0.00
22:10:31 | pseudo_online | INFO | S061 | eegnet | acc_at_end=0.429 | best acc=0.714 @2.00s | ITR=4.1 | rest FPR=0.00
22:10:38 | pseudo_online | INFO | S062 | eegnet | acc_at_end=0.786 | best acc=0.857 @3.00s | ITR=8.2 | rest FPR=0.79
22:10:41 | pseudo_online | INFO | S063 | eegnet | acc_at_end=0.429 | best acc=0.714 @2.00s | ITR=4.1 | rest FPR=0.00
22:10:43 | pseudo_online | INFO | S064 | eegnet | acc_at_end=0.429 | best acc=0.714 @2.00s | ITR=4.1 | rest FPR=0.00
22:10:47 | pseudo_online | INFO | S065 | eegnet | acc_at_end=0.500 | best acc=0.714 @2.00s | ITR=4.1 | rest FPR=0.00
22:10:52 | pseudo_online | INFO | S066 | eegnet | acc_at_end=0.643 | best acc=0.643 @1.25s | ITR=2.9 | rest FPR=0.03
22:10:54 | pseudo_online | INFO | S067 | eegnet | acc_at_end=0.643 | best acc=0.643 @0.75s | ITR=4.8 | rest FPR=0.00
22:10:58 | pseudo_online | INFO | S068 | eegnet | acc_at_end=0.286 | best acc=0.786 @1.50s | ITR=10.0 | rest FPR=0.00
22:11:01 | pseudo_online | INFO | S069 | eegnet | acc_at_end=0.500 | best acc=0.643 @3.25s | ITR=1.1 | rest FPR=0.00
22:11:10 | pseudo_online | INFO | S070 | eegnet | acc_at_end=0.286 | best acc=0.786 @0.50s | ITR=30.0 | rest FPR=0.77
22:11:14 | pseudo_online | INFO | S071 | eegnet | acc_at_end=0.571 | best acc=0.857 @1.75s | ITR=14.0 | rest FPR=0.00
22:11:18 | pseudo_online | INFO | S072 | eegnet | acc_at_end=0.429 | best acc=0.643 @2.50s | ITR=1.4 | rest FPR=0.03
22:11:21 | pseudo_online | INFO | S073 | eegnet | acc_at_end=0.500 | best acc=0.500 @1.00s | ITR=0.0 | rest FPR=0.00
22:11:25 | pseudo_online | INFO | S074 | eegnet | acc_at_end=0.286 | best acc=0.429 @0.50s | ITR=0.0 | rest FPR=0.06
22:11:27 | pseudo_online | INFO | S075 | eegnet | acc_at_end=0.429 | best acc=0.571 @3.50s | ITR=0.3 | rest FPR=0.00
22:11:30 | pseudo_online | INFO | S076 | eegnet | acc_at_end=0.429 | best acc=0.571 @3.25s | ITR=0.3 | rest FPR=0.00
22:11:37 | pseudo_online | INFO | S077 | eegnet | acc_at_end=0.714 | best acc=0.714 @4.00s | ITR=2.1 | rest FPR=0.74
22:11:40 | pseudo_online | INFO | S078 | eegnet | acc_at_end=0.500 | best acc=0.643 @1.50s | ITR=2.4 | rest FPR=0.00
22:11:42 | pseudo_online | INFO | S079 | eegnet | acc_at_end=0.429 | best acc=0.643 @1.50s | ITR=2.4 | rest FPR=0.00
22:11:45 | pseudo_online | INFO | S080 | eegnet | acc_at_end=0.500 | best acc=0.714 @1.25s | ITR=6.6 | rest FPR=0.00
22:11:55 | pseudo_online | INFO | S081 | eegnet | acc_at_end=0.643 | best acc=0.929 @2.25s | ITR=16.8 | rest FPR=0.84
22:11:58 | pseudo_online | INFO | S082 | eegnet | acc_at_end=0.500 | best acc=0.643 @1.75s | ITR=2.0 | rest FPR=0.00
22:12:02 | pseudo_online | INFO | S083 | eegnet | acc_at_end=0.714 | best acc=0.714 @1.75s | ITR=4.7 | rest FPR=0.00
22:12:05 | pseudo_online | INFO | S084 | eegnet | acc_at_end=0.429 | best acc=0.786 @1.00s | ITR=15.0 | rest FPR=0.00
22:12:12 | pseudo_online | INFO | S085 | eegnet | acc_at_end=0.929 | best acc=1.000 @3.75s | ITR=16.0 | rest FPR=0.78
22:12:16 | pseudo_online | INFO | S086 | eegnet | acc_at_end=0.357 | best acc=0.786 @1.75s | ITR=8.6 | rest FPR=0.00
22:12:19 | pseudo_online | INFO | S087 | eegnet | acc_at_end=0.500 | best acc=0.571 @2.00s | ITR=0.4 | rest FPR=0.00
