offset,acc,n,subject
0.5,0.7142857142857143,14,1
0.75,0.6428571428571429,14,1
1.0,0.5714285714285714,14,1
1.25,0.42857142857142855,14,1
1.5,0.5714285714285714,14,1
1.75,0.6428571428571429,14,1
2.0,0.6428571428571429,14,1
2.25,0.7857142857142857,14,1
2.5,0.7857142857142857,14,1
2.75,0.7142857142857143,14,1
3.0,0.7142857142857143,14,1
3.25,0.7857142857142857,14,1
3.5,0.7857142857142857,14,1
3.75,0.5714285714285714,14,1
4.0,0.6428571428571429,14,1
0.5,0.6428571428571429,14,2
0.75,0.6428571428571429,14,2
1.0,0.6428571428571429,14,2
1.25,0.5,14,2
1.5,0.5,14,2
1.75,0.42857142857142855,14,2
2.0,0.6428571428571429,14,2
2.25,0.6428571428571429,14,2
2.5,0.6428571428571429,14,2
2.75,0.7142857142857143,14,2
3.0,0.7142857142857143,14,2
3.25,0.7142857142857143,14,2
3.5,0.7142857142857143,14,2
3.75,0.7857142857142857,14,2
4.0,0.7857142857142857,14,2
0.5,0.35714285714285715,14,3
0.75,0.5,14,3
1.0,0.5714285714285714,14,3
1.25,0.6428571428571429,14,3
1.5,0.5714285714285714,14,3
1.75,0.7142857142857143,14,3
2.0,0.6428571428571429,14,3
2.25,0.6428571428571429,14,3
2.5,0.6428571428571429,14,3
2.75,0.6428571428571429,14,3
3.0,0.6428571428571429,14,3
3.25,0.5714285714285714,14,3
3.5,0.5,14,3
3.75,0.5,14,3
4.0,0.5714285714285714,14,3
0.5,0.35714285714285715,14,4
0.75,0.42857142857142855,14,4
1.0,0.6428571428571429,14,4
1.25,0.7142857142857143,14,4
1.5,0.8571428571428571,14,4
1.75,0.7142857142857143,14,4
2.0,0.7857142857142857,14,4
2.25,0.7857142857142857,14,4
2.5,0.7142857142857143,14,4
2.75,0.7142857142857143,14,4
3.0,0.6428571428571429,14,4
3.25,0.6428571428571429,14,4
3.5,0.5714285714285714,14,4
3.75,0.42857142857142855,14,4
4.0,0.2857142857142857,14,4
0.5,0.5714285714285714,14,5
0.75,0.5714285714285714,14,5
1.0,0.6428571428571429,14,5
1.25,0.5714285714285714,14,5
1.5,0.6428571428571429,14,5
1.75,0.7142857142857143,14,5
2.0,0.7857142857142857,14,5
2.25,0.6428571428571429,14,5
2.5,0.6428571428571429,14,5
2.75,0.5,14,5
3.0,0.5,14,5
3.25,0.5714285714285714,14,5
3.5,0.6428571428571429,14,5
3.75,0.7142857142857143,14,5
4.0,0.6428571428571429,14,5
0.5,0.6428571428571429,14,6
0.75,0.6428571428571429,14,6
1.0,0.5,14,6
1.25,0.5,14,6
1.5,0.2857142857142857,14,6
1.75,0.35714285714285715,14,6
2.0,0.35714285714285715,14,6
2.25,0.2857142857142857,14,6
2.5,0.35714285714285715,14,6
2.75,0.2857142857142857,14,6
3.0,0.2857142857142857,14,6
3.25,0.35714285714285715,14,6
3.5,0.35714285714285715,14,6
3.75,0.42857142857142855,14,6
4.0,0.5714285714285714,14,6
0.5,0.6428571428571429,14,7
0.75,0.6428571428571429,14,7
1.0,0.7142857142857143,14,7
1.25,0.7142857142857143,14,7
1.5,0.7857142857142857,14,7
1.75,0.8571428571428571,14,7
2.0,1.0,14,7
2.25,1.0,14,7
2.5,1.0,14,7
2.75,1.0,14,7
3.0,1.0,14,7
3.25,1.0,14,7
3.5,1.0,14,7
3.75,1.0,14,7
4.0,1.0,14,7
0.5,0.35714285714285715,14,8
0.75,0.42857142857142855,14,8
1.0,0.35714285714285715,14,8
1.25,0.35714285714285715,14,8
1.5,0.35714285714285715,14,8
1.75,0.42857142857142855,14,8
2.0,0.42857142857142855,14,8
2.25,0.42857142857142855,14,8
2.5,0.42857142857142855,14,8
2.75,0.35714285714285715,14,8
3.0,0.35714285714285715,14,8
3.25,0.42857142857142855,14,8
3.5,0.42857142857142855,14,8
3.75,0.42857142857142855,14,8
4.0,0.42857142857142855,14,8
0.5,0.5,14,9
0.75,0.5714285714285714,14,9
1.0,0.5,14,9
1.25,0.6428571428571429,14,9
1.5,0.5,14,9
1.75,0.6428571428571429,14,9
2.0,0.6428571428571429,14,9
2.25,0.6428571428571429,14,9
2.5,0.6428571428571429,14,9
2.75,0.6428571428571429,14,9
3.0,0.7142857142857143,14,9
3.25,0.5714285714285714,14,9
3.5,0.6428571428571429,14,9
3.75,0.6428571428571429,14,9
4.0,0.6428571428571429,14,9
0.5,0.6428571428571429,14,10
0.75,0.5714285714285714,14,10
1.0,0.5,14,10
