subject,eegnet_acc,eegnet_kappa
1,0.5609756097560976,0.12142857142857144
2,0.5111111111111111,0.017857142857142794
3,0.5227272727272727,0.04149377593361003
4,0.5333333333333333,0.06896551724137934
5,0.5111111111111111,-0.012269938650306678
6,0.5555555555555556,0.09090909090909094
7,0.7619047619047619,0.5104895104895104
8,0.6,0.2027559055118111
10,0.5714285714285714,-0.024390243902439046
11,0.4772727272727273,-0.045454545454545414
12,0.5909090909090909,0.17671517671517667
14,0.4888888888888889,-0.021717670286278246
15,0.8378378378378378,0.6706231454005935
16,0.6222222222222222,0.24031777557100298
18,0.7333333333333333,0.4674556213017752
19,0.5454545454545454,0.051724137931034475
20,0.5777777777777777,0.15929203539823011
21,0.75,0.5020576131687242
22,0.8,0.5980707395498392
23,0.5454545454545454,0.12
25,0.35555555555555557,-0.29850746268656714
26,0.4,-0.20895522388059717
27,0.425,-0.1499999999999999
28,0.5,0.0
29,0.6444444444444445,0.2842942345924453
30,0.4666666666666667,-0.07784431137724557
31,0.5111111111111111,0.015904572564612307
32,0.7142857142857143,0.3913043478260869
33,0.37777777777777777,-0.25
34,0.6046511627906976,0.21143473570658045
35,0.7555555555555555,0.5094152626362736
36,0.6944444444444444,0.38888888888888884
37,0.3488372093023256,-0.30585683297180055
38,0.4090909090909091,-0.19916142557651972
40,0.6976744186046512,0.39040348964013083
41,0.6136363636363636,0.22406639004149376
42,0.4444444444444444,-0.11717974180734858
43,0.5909090909090909,0.16806722689075626
45,0.48717948717948717,-0.026315789473684292
46,0.475,-0.050000000000000044
47,0.4888888888888889,-0.011730205278592365
49,0.5384615384615384,0.025000000000000022
50,0.6222222222222222,0.24778761061946908
51,0.7555555555555555,0.5074626865671641
54,0.6470588235294118,0.27659574468085113
55,0.5555555555555556,0.1106719367588932
57,0.6190476190476191,0.22935779816513768
58,0.6363636363636364,0.26050420168067223
59,0.5428571428571428,0.06976744186046513
60,0.6410256410256411,0.2853403141361257
62,0.7555555555555555,0.5103857566765578
63,0.5116279069767442,0.02588996763754048
64,0.38636363636363635,-0.2323651452282156
65,0.6136363636363636,0.23360655737704927
66,0.5454545454545454,0.09090909090909094
67,0.5777777777777777,0.15262636273538155
68,0.6285714285714286,0.24040066777963265
69,0.5777777777777777,0.14414414414414412
70,0.8636363636363636,0.7272727272727273
71,0.8717948717948718,0.7424042272126816
72,0.5348837209302325,0.07127429805615548
73,0.42857142857142855,-0.1428571428571428
74,0.5581395348837209,0.11484290357529803
76,0.5952380952380952,0.19047619047619047
77,0.5151515151515151,0.02583025830258312
78,0.5581395348837209,0.12055974165769645
79,0.4642857142857143,-0.0714285714285714
80,0.5454545454545454,0.08141962421711901
81,0.6444444444444445,0.28712871287128705
82,0.4772727272727273,-0.045454545454545414
83,0.41935483870967744,-0.2025862068965516
84,0.5151515151515151,0.03296703296703307
85,0.5,0.0
87,0.5526315789473685,0.10027855153203347
89,0.4666666666666667,-0.0714285714285714
93,0.6222222222222222,0.24182358771060453
94,0.6216216216216216,0.2404692082111437
96,0.5454545454545454,0.07821229050279332
97,0.6,0.19395465994962224
98,0.4666666666666667,-0.06508875739644959
101,0.7777777777777778,0.5544554455445545
102,0.47619047619047616,-0.04761904761904767
103,0.5714285714285714,0.14910858995137766
104,0.5238095238095238,0.04761904761904767
105,0.8636363636363636,0.7272727272727273
106,0.5681818181818182,0.12552301255230125
107,0.3448275862068966,-0.36724565756823835
108,0.6666666666666666,0.3287671232876712
