subject,n_train,n_test,best_offset,best_acc,acc_at_end,itr_bits_min,rest_fpr,n_rest_windows
1,31,14,2.25,0.7857142857142857,0.6428571428571429,6.677459806413869,0.9145299145299145,117
2,31,14,3.75,0.7857142857142857,0.7857142857142857,4.006475883848322,0.9914529914529915,117
3,31,14,1.75,0.7142857142857143,0.5714285714285714,4.693009077715513,0.9230769230769231,117
4,31,14,1.5,0.8571428571428571,0.2857142857142857,16.3330888567069,0.8290598290598291,117
5,31,14,2.0,0.7857142857142857,0.6428571428571429,7.512142282215603,0.9743589743589743,117
6,31,14,0.5,0.6428571428571429,0.5714285714285714,7.165684959524277,0.8888888888888888,117
7,31,14,2.0,1.0,1.0,29.99999905979859,0.9572649572649573,117
8,31,14,0.75,0.42857142857142855,0.42857142857142855,0.0,0.9316239316239316,117
9,31,14,3.0,0.7142857142857143,0.6428571428571429,2.7375886286673823,0.9743589743589743,117
10,31,14,1.5,0.7857142857142857,0.42857142857142855,10.016189709620804,0.8803418803418803,117
11,31,14,1.5,0.7857142857142857,0.6428571428571429,10.016189709620804,0.8803418803418803,117
12,31,14,1.5,0.8571428571428571,0.7142857142857143,16.3330888567069,0.9316239316239316,117
13,31,14,1.75,0.5714285714285714,0.5,0.5064639073970907,0.9658119658119658,117
14,31,14,2.75,0.7142857142857143,0.5714285714285714,2.986460322182599,0.9658119658119658,117
15,31,14,1.5,0.8571428571428571,0.7142857142857143,16.3330888567069,0.9145299145299145,117
16,31,14,0.5,0.7142857142857143,0.6428571428571429,16.425531772004295,0.8717948717948718,117
17,31,14,0.5,0.7857142857142857,0.5,30.04856912886241,0.7521367521367521,117
18,31,14,0.5,0.6428571428571429,0.2857142857142857,7.165684959524277,0.8888888888888888,117
19,31,14,1.5,0.5714285714285714,0.21428571428571427,0.5908745586299391,0.8290598290598291,117
20,31,14,0.5,0.5,0.42857142857142855,0.0,0.9658119658119658,117
21,31,14,0.5,0.7142857142857143,0.5714285714285714,16.425531772004295,0.9230769230769231,117
22,31,14,1.75,0.6428571428571429,0.35714285714285715,2.047338559864079,0.9743589743589743,117
23,31,14,2.5,0.6428571428571429,0.5714285714285714,1.4331369919048553,1.0,117
24,31,14,3.0,0.7857142857142857,0.7857142857142857,5.008094854810402,0.9743589743589743,117
25,31,14,3.75,0.7857142857142857,0.7142857142857143,4.006475883848322,0.9914529914529915,117
26,31,14,2.0,0.8571428571428571,0.6428571428571429,12.249816642530176,0.9145299145299145,117
27,31,14,0.75,0.7857142857142857,0.6428571428571429,20.032379419241607,0.8461538461538461,117
28,31,14,3.75,0.5714285714285714,0.5714285714285714,0.23634982345197564,0.8974358974358975,117
29,31,14,2.5,1.0,0.9285714285714286,23.999999247838872,0.9658119658119658,117
30,31,14,0.75,0.7142857142857143,0.5,10.95035451466953,0.9401709401709402,117
31,31,14,3.25,1.0,1.0,18.461537882952978,0.8461538461538461,117
32,31,14,2.5,0.8571428571428571,0.8571428571428571,9.79985331402414,1.0,117
33,31,14,2.5,0.8571428571428571,0.6428571428571429,9.79985331402414,0.8290598290598291,117
34,31,14,2.5,1.0,0.9285714285714286,23.999999247838872,0.9572649572649573,117
35,31,14,3.0,0.8571428571428571,0.5714285714285714,8.16654442835345,0.8974358974358975,117
36,31,14,3.75,0.7857142857142857,0.5714285714285714,4.006475883848322,0.9316239316239316,117
37,31,14,0.5,0.5,0.5,0.0,0.9572649572649573,117
38,31,14,3.5,0.6428571428571429,0.6428571428571429,1.0236692799320395,0.905982905982906,117
39,31,14,2.5,0.5714285714285714,0.42857142857142855,0.35452473517796346,0.9743589743589743,117
40,31,14,3.5,0.7857142857142857,0.5,4.29265273269463,0.9743589743589743,117
41,31,14,2.5,0.5714285714285714,0.5,0.35452473517796346,0.9230769230769231,117
42,31,14,2.0,1.0,0.8571428571428571,29.99999905979859,0.9145299145299145,117
43,31,14,4.0,0.8571428571428571,0.8571428571428571,6.124908321265088,0.8547008547008547,117
44,31,14,1.75,0.7857142857142857,0.7142857142857143,8.58530546538926,0.7863247863247863,117
45,31,14,3.25,0.7142857142857143,0.6428571428571429,2.527004888000661,0.905982905982906,117
46,31,14,0.5,0.6428571428571429,0.5714285714285714,7.165684959524277,0.9743589743589743,117
47,31,14,0.75,0.5714285714285714,0.42857142857142855,1.1817491172598782,0.8290598290598291,117
48,31,14,2.25,0.7857142857142857,0.7142857142857143,6.677459806413869,0.8205128205128205,117
49,31,14,3.75,0.7142857142857143,0.7142857142857143,2.190070902933906,0.9487179487179487,117
50,31,14,1.75,0.7142857142857143,0.42857142857142855,4.693009077715513,0.9230769230769231,117
51,31,14,2.25,0.6428571428571429,0.42857142857142855,1.5923744354498393,0.8034188034188035,117
52,31,14,2.5,0.7857142857142857,0.6428571428571429,6.009713825772482,0.9230769230769231,117
53,31,14,1.75,0.9285714285714286,0.7857142857142857,21.557748800884266,0.9829059829059829,117
54,31,14,3.25,0.8571428571428571,0.7142857142857143,7.538348703095493,0.7863247863247863,117
55,31,14,2.5,0.9285714285714286,0.7857142857142857,15.090424160618985,0.9743589743589743,117
56,31,14,2.25,0.8571428571428571,0.7142857142857143,10.888725904471267,0.9316239316239316,117
57,31,14,3.75,0.7142857142857143,0.6428571428571429,2.190070902933906,0.9914529914529915,117
58,31,14,0.75,0.7857142857142857,0.5714285714285714,20.032379419241607,0.9230769230769231,117
59,31,14,1.0,0.5714285714285714,0.42857142857142855,0.8863118379449086,0.8632478632478633,117
60,31,14,2.5,0.9285714285714286,0.7142857142857143,15.090424160618985,0.9658119658119658,117
61,31,14,2.75,0.8571428571428571,0.5714285714285714,8.908957558203765,0.811965811965812,117
62,31,14,2.5,0.9285714285714286,0.9285714285714286,15.090424160618985,0.9743589743589743,117
63,31,14,0.5,0.42857142857142855,0.42857142857142855,0.0,1.0,117
64,31,14,2.0,0.5714285714285714,0.35714285714285715,0.4431559189724543,0.9487179487179487,117
